OBJECTID,ID,Year,Reported Date,Occurred Date,Day of Week,Offence Category,Bicycle Style,Bicycle Value,Bicycle Make,Bicycle Model,Bicycle Type,Bicycle Frame,Bicycle Colour,Bicycle Speed,Neighbourhood,Sector,Division,Census Tract,x,y
1,1410,2022,12/24/2022 5:00:00 AM,12/23/2022 5:00:00 AM,Friday,2120,STOLEN,150,MIEL,N/A,N/A,MEN'S,PUPLE,18,Sandy Hill,Sector 24,Central,5050014,369697.2329,5031293.321
2,1411,2022,12/24/2022 5:00:00 AM,12/23/2022 5:00:00 AM,Friday,2120,STOLEN,150,MIEL,N/A,N/A,MEN'S,PUPLE,18,Sandy Hill,Sector 24,Central,5050014,369697.2329,5031293.321
3,1315,2022,12/22/2022 5:00:00 AM,12/22/2022 5:00:00 AM,Thursday,THEFT<BICYCLE,STOLEN,400,HYPER BEAR,N/A,HYBRID,MEN'S,N/A,10,Carleton University,Sector 22,Central,5050020.01,367417.5989,5026899.964
4,741,2022,12/18/2022 5:00:00 AM,12/14/2022 5:00:00 AM,Wednesday,THEFT<BICYCLE,STOLEN,0,UNKNOWN,N/A,MOUNTAIN,WOMEN'S,BLUE GRAY,1,Glebe - Dows Lake,Sector 22,Central,5050018,368594.711,5029799.561
5,1175,2022,12/18/2022 5:00:00 AM,12/14/2022 5:00:00 AM,Wednesday,B&E RESIDENCE,STOLEN,800,DAVINCI,MILNO,REGULAR,WOMEN'S,GRYYEL,21,Glebe - Dows Lake,Sector 22,Central,5050018,368594.711,5029799.561
6,1792,2022,12/18/2022 5:00:00 AM,12/14/2022 5:00:00 AM,Wednesday,B&E NON-RESIDENC,STOLEN,0,SUPE,N/A,HYBRID,WOMEN'S,WHITE  YELLOW,1,Glebe - Dows Lake,Sector 22,Central,5050018,368594.711,5029799.561
7,433,2022,12/16/2022 5:00:00 AM,12/15/2022 5:00:00 AM,Thursday,B&E RESIDENCE,STOLEN,1300,NORTHROCK,XCF,REGULAR,MEN'S,BLACK,10,Sandy Hill,Sector 24,Central,5050050,368636.8819,5031723.753
8,1314,2022,12/15/2022 5:00:00 AM,12/7/2022 5:00:00 AM,Wednesday,B&E RESIDENCE,STOLEN,160,OTHER,N/A,REGULAR,MEN'S,N/A,12,Overbrook - McArthur,Sector 25,Central,5050101,370051.5819,5032523.584
9,725,2022,12/14/2022 5:00:00 AM,12/9/2022 5:00:00 AM,Friday,THEFT<BICYCLE,STOLEN,250,RALEIGH,TRANSIT,OTHER,MEN'S,BLUE,1,Hintonburg - Mechanicsville,Sector 21,Central,5050054,368098.2585,5032157.489
10,761,2022,12/14/2022 5:00:00 AM,12/13/2022 5:00:00 AM,Tuesday,THEFT<BICYCLE,STOLEN,2250,RIDLEY,XTRAIL,REGULAR,MEN'S,BLUE YELLOW,1,Vanier North,Sector 25,Central,5050043,366098.7011,5029523.561
